Transect	Distance	Layer	StrS	StrD
Ecotone2	69	Ground	6	3.94444444444444
Ecotone2	70	Ground	6	3.94444444444444
Ecotone2	71	Ground	6	3.94444444444444
Ecotone2	72	Ground	6	3.94444444444444
Ecotone2	73	Ground	7	4.27777777777778
Ecotone2	74	Ground	6	3.94444444444444
Ecotone2	75	Ground	7	4.27777777777778
Ecotone2	76	Ground	6	3.66666666666667
Ecotone2	77	Ground	6	3.94444444444444
Ecotone2	78	Ground	6	3.66666666666667
Ecotone2	79	Ground	5	3.66666666666667
Ecotone2	80	Ground	4	2.66666666666667
Ecotone2	81	Ground	10	5.33333333333333
Ecotone2	82	Ground	7	4.33333333333333
Ecotone2	83	Ground	6	3.94444444444444
Ecotone2	84	Ground	6	3.66666666666667
Ecotone2	85	Ground	6	3.94444444444444
Ecotone2	86	Ground	8	4.61111111111111
Ecotone2	87	Ground	6	3.94444444444444
Ecotone2	88	Ground	8	4.94444444444444
Ecotone2	89	Ground	6	3.94444444444444
Ecotone2	90	Ground	6	3.94444444444444
Ecotone2	91	Ground	7	4.61111111111111
Ecotone2	92	Ground	3	2
Ecotone2	93	Ground	6	3.66666666666667
Ecotone2	94	Ground	6	3.94444444444444
Ecotone2	95	Ground	6	3.94444444444444
Ecotone2	96	Ground	6	3.94444444444444
Ecotone2	97	Ground	6	3.94444444444444
Ecotone2	98	Ground	7	4.61111111111111
Ecotone2	99	Ground	6	4.33333333333333
Ecotone2	100	Ground	7	4.33333333333333
Ecotone2	101	Ground	7	4.33333333333333
Ecotone2	102	Ground	7	4.33333333333333
Ecotone2	103	Ground	6	3.94444444444444
Ecotone2	104	Ground	7	4.61111111111111
Ecotone2	105	Ground	6	3.66666666666667
Ecotone2	106	Ground	6	3.94444444444444
Ecotone2	107	Ground	6	3.94444444444444
Ecotone2	108	Ground	6	3.94444444444444
Ecotone2	109	Ground	6	3.66666666666667
Ecotone2	110	Ground	7	4.61111111111111
Ecotone2	111	Ground	4	3.33333333333333
Ecotone2	112	Ground	5	4
Ecotone2	113	Ground	6	4
Ecotone2	114	Ground	5	3.61111111111111
Ecotone2	115	Ground	3	2.66666666666667
Ecotone2	116	Ground	3	2.66666666666667
Ecotone2	117	Ground	2	2
Tundra1	1	Ground	5	2.66666666666667
Tundra1	2	Ground	4	2.55555555555556
Tundra1	3	Ground	7	4.22222222222222
Tundra1	4	Ground	4	2.33333333333333
Tundra1	5	Ground	4	2
Tundra1	6	Ground	6	3.66666666666667
Tundra1	7	Ground	6	3.66666666666667
Tundra1	8	Ground	8	4.33333333333333
Tundra1	9	Ground	6	3
Tundra1	10	Ground	6	4
Tundra1	11	Ground	6	3.33333333333333
Tundra1	12	Ground	7	4.33333333333333
Tundra1	13	Ground	5	3
Tundra1	14	Ground	6	3.66666666666667
Tundra1	15	Ground	7	4.66666666666667
Tundra1	16	Ground	8	4.66666666666667
Tundra1	17	Ground	7	4
Tundra1	18	Ground	8	4
Tundra1	19	Ground	8	4
Tundra1	20	Ground	10	5
Tundra1	21	Ground	9	4.33333333333333
Tundra1	22	Ground	9	4.33333333333333
Tundra1	23	Ground	8	3.66666666666667
Tundra1	24	Ground	9	4
Tundra1	25	Ground	10	5
Tundra1	26	Ground	9	4.33333333333333
Tundra1	27	Ground	7	3.33333333333333
Tundra1	28	Ground	10	5
Tundra1	29	Ground	8	3.66666666666667
Tundra1	30	Ground	10	4.66666666666667
Tundra1	31	Ground	11	5.33333333333333
Tundra1	32	Ground	8	4.33333333333333
Tundra1	33	Ground	9	4.66666666666667
Tundra1	34	Ground	9	4
Tundra1	35	Ground	8	4
Tundra1	36	Ground	8	3.66666666666667
Tundra1	37	Ground	10	4.66666666666667
Tundra1	38	Ground	8	3.66666666666667
Tundra1	39	Ground	9	4.33333333333333
Tundra1	40	Ground	8	3.66666666666667
Tundra1	41	Ground	9	4.33333333333333
Tundra1	42	Ground	7	3.33333333333333
Tundra1	43	Ground	9	4
Tundra1	44	Ground	7	3.33333333333333
Tundra1	45	Ground	8	4
Tundra1	46	Ground	7	4
Tundra1	47	Ground	6	3.66666666666667
Tundra1	48	Ground	7	4
Tundra1	49	Ground	7	4
Tundra1	50	Ground	7	3.66666666666667
Tundra1	51	Ground	7	4
Tundra1	52	Ground	6	3.66666666666667
Tundra1	53	Ground	4	2.33333333333333
Tundra1	54	Ground	5	3
Tundra1	55	Ground	5	3
Tundra1	56	Ground	8	4
Tundra1	57	Ground	5	3
Tundra1	58	Ground	9	5.33333333333333
Tundra1	59	Ground	7	4
Tundra1	60	Ground	10	4.66666666666667
Tundra1	61	Ground	7	3.66666666666667
Tundra1	62	Ground	10	4.66666666666667
Tundra1	63	Ground	9	4.33333333333333
Tundra1	64	Ground	9	4.33333333333333
Tundra1	65	Ground	9	4.33333333333333
Tundra1	66	Ground	9	4.33333333333333
Tundra1	67	Ground	9	4.33333333333333
Tundra1	68	Ground	9	4.33333333333333
Tundra1	69	Ground	8	3.66666666666667
Tundra1	70	Ground	8	4
Tundra1	71	Ground	10	4.66666666666667
Tundra1	72	Ground	8	4
Tundra1	73	Ground	10	4.66666666666667
Tundra1	74	Ground	8	3.66666666666667
Tundra1	75	Ground	7	3.33333333333333
Tundra1	76	Ground	7	3.33333333333333
Tundra1	77	Ground	9	4
Tundra1	78	Ground	8	4
Tundra1	79	Ground	8	3.66666666666667
Tundra1	80	Ground	9	4.33333333333333
Tundra1	81	Ground	8	3.66666666666667
Tundra1	82	Ground	9	4.33333333333333
Tundra1	83	Ground	8	4
Tundra1	84	Ground	8	3.66666666666667
Tundra1	85	Ground	9	4.33333333333333
Tundra1	86	Ground	9	4
Tundra1	87	Ground	10	5
Tundra1	88	Ground	9	4.33333333333333
Tundra1	89	Ground	8	4
Tundra1	90	Ground	8	4
Tundra1	91	Ground	10	4.66666666666667
Tundra1	92	Ground	11	5.33333333333333
Tundra1	93	Ground	10	4.66666666666667
Tundra1	94	Ground	9	4.66666666666667
Tundra1	95	Ground	9	4.33333333333333
Tundra1	96	Ground	10	5
Tundra1	97	Ground	8	4
Tundra1	98	Ground	10	4.66666666666667
