Medidor	Planta	Folha	AE	AD	FAtot	FArel	FAtot_abs	FArel_abs	Atot
Andreza	26	6	24.641	27.376	2.735	0.0525789646	2.735	0.0525789646	52.017
Andreza	26	2	22.242	25.033	2.791	0.0590375463	2.791	0.0590375463	47.275
Andreza	26	1	19.159	24.939	5.78	0.1310717039	5.78	0.1310717039	44.098
Andreza	27	8	9.604	9.389	-0.215	-0.01131996	0.215	0.01131996	18.993
Andreza	27	3	10.08	10.319	0.239	0.0117162606	0.239	0.0117162606	20.399
Andreza	27	7	16.311	16.646	0.335	0.0101647601	0.335	0.0101647601	32.957
Andreza	27	2	16.618	15.957	-0.661	-0.0202916347	0.661	0.0202916347	32.575
Andreza	27	13	15.24	14.508	-0.732	-0.0246066962	0.732	0.0246066962	29.748
Andreza	27	11	14.762	13.954	-0.808	-0.0281376236	0.808	0.0281376236	28.716
Andreza	27	5	31.491	30.527	-0.964	-0.0155438744	0.964	0.0155438744	62.018
Andreza	27	1	10.494	11.765	1.271	0.0571004987	1.271	0.0571004987	22.259
Andreza	27	15	27.868	26.205	-1.663	-0.0307547205	1.663	0.0307547205	54.073
Andreza	27	9	22.556	20.835	-1.721	-0.0396626028	1.721	0.0396626028	43.391
Andreza	27	4	23.697	21.917	-1.78	-0.0390231069	1.78	0.0390231069	45.614
Andreza	27	12	21.678	19.606	-2.072	-0.0501889352	2.072	0.0501889352	41.284
Andreza	27	14	22.205	19.208	-2.997	-0.0723685799	2.997	0.0723685799	41.413
Andreza	27	10	31.353	27.778	-3.575	-0.0604589809	3.575	0.0604589809	59.131
Andreza	27	6	15.262	19.185	3.923	0.1138850988	3.923	0.1138850988	34.447
Andreza	28	13	21.874	22.111	0.237	0.0053882005	0.237	0.0053882005	43.985
Andreza	28	7	11.499	11.804	0.305	0.0130884435	0.305	0.0130884435	23.303
Andreza	28	4	9.782	10.382	0.6	0.0297560008	0.6	0.0297560008	20.164
Andreza	28	14	8.647	9.404	0.757	0.0419367348	0.757	0.0419367348	18.051
Andreza	28	10	13.916	13.081	-0.835	-0.0309293625	0.835	0.0309293625	26.997
Andreza	28	1	41.054	42.923	1.869	0.0222560939	1.869	0.0222560939	83.977
Andreza	28	11	21.845	19.878	-1.967	-0.047144261	1.967	0.047144261	41.723
Andreza	28	3	13.271	15.335	2.064	0.0721526952	2.064	0.0721526952	28.606
Andreza	28	15	22.55	25.093	2.543	0.0533761518	2.543	0.0533761518	47.643
Andreza	28	12	22.762	19.894	-2.868	-0.0672355589	2.868	0.0672355589	42.656
Andreza	28	2	28.237	25.332	-2.905	-0.0542291251	2.905	0.0542291251	53.569
Andreza	28	9	23.923	20.441	-3.482	-0.0784870616	3.482	0.0784870616	44.364
Andreza	28	5	16.254	20.955	4.701	0.1263404015	4.701	0.1263404015	37.209
Andreza	28	8	35.524	30.321	-5.203	-0.079018908	5.203	0.079018908	65.845
Andreza	28	6	15.626	20.999	5.373	0.1467030717	5.373	0.1467030717	36.625
Andreza	29	6	10.398	10.336	-0.062	-0.0029902575	0.062	0.0029902575	20.734
Andreza	29	7	19.756	20.004	0.248	0.0062374245	0.248	0.0062374245	39.76
Andreza	29	12	16.68	17.579	0.899	0.0262412797	0.899	0.0262412797	34.259
Andreza	29	15	25.41	26.309	0.899	0.0173823933	0.899	0.0173823933	51.719
Andreza	29	1	6.706	7.647	0.941	0.0655612067	0.941	0.0655612067	14.353
Andreza	29	10	41.386	40.295	-1.091	-0.0133568394	1.091	0.0133568394	81.681
Andreza	29	9	39.118	40.422	1.304	0.016394267	1.304	0.016394267	79.54
Andreza	29	13	20.225	18.839	-1.386	-0.0354802376	1.386	0.0354802376	39.064
Andreza	29	2	17.322	18.712	1.39	0.0385746795	1.39	0.0385746795	36.034
Andreza	29	5	27.508	29.25	1.742	0.0306917087	1.742	0.0306917087	56.758
Andreza	29	14	31.705	29.763	-1.942	-0.0315936748	1.942	0.0315936748	61.468
Andreza	29	3	13.936	11.925	-2.011	-0.0777618808	2.011	0.0777618808	25.861
Andreza	29	4	33.291	30.647	-2.644	-0.0413525603	2.644	0.0413525603	63.938
Andreza	29	8	11.052	8.249	-2.803	-0.145225636	2.803	0.145225636	19.301
Andreza	29	11	22.729	27.106	4.377	0.0878298385	4.377	0.0878298385	49.835
Andreza	30	9	10.832	10.863	0.031	0.0014289007	0.031	0.0014289007	21.695
Andreza	30	2	12.293	12.234	-0.059	-0.0024055123	0.059	0.0024055123	24.527
Andreza	30	1	12.677	12.356	-0.321	-0.0128230735	0.321	0.0128230735	25.033
Andreza	30	10	16.342	15.941	-0.401	-0.0124213983	0.401	0.0124213983	32.283
Andreza	30	4	17.83	18.81	0.98	0.0267467249	0.98	0.0267467249	36.64
Andreza	30	5	18.447	17.464	-0.983	-0.0273732283	0.983	0.0273732283	35.911
Andreza	30	3	8.488	9.567	1.079	0.0597618388	1.079	0.0597618388	18.055
Andreza	30	15	12.651	14.05	1.399	0.0523950414	1.399	0.0523950414	26.701
Andreza	30	6	14.141	15.588	1.447	0.0486730129	1.447	0.0486730129	29.729
Andreza	30	13	11.286	9.535	-1.751	-0.0840977859	1.751	0.0840977859	20.821
Andreza	30	11	10.668	8.906	-1.762	-0.09001737	1.762	0.09001737	19.574
Andreza	30	12	14.51	12.506	-2.004	-0.0741782647	2.004	0.0741782647	27.016
Andreza	30	8	15.361	18.003	2.642	0.0791871478	2.642	0.0791871478	33.364
Andreza	30	14	20.908	18.093	-2.815	-0.0721776365	2.815	0.0721776365	39.001
Andreza	30	7	17.985	14.541	-3.444	-0.1058845232	3.444	0.1058845232	32.526
Andreza	31	12	26.651	26.676	0.025	0.0004688057	0.025	0.0004688057	53.327
Andreza	31	4	14.938	14.819	-0.119	-0.003999059	0.119	0.003999059	29.757
Andreza	31	7	16.763	16.59	-0.173	-0.0051869397	0.173	0.0051869397	33.353
Andreza	31	1	27.073	26.535	-0.538	-0.0100358155	0.538	0.0100358155	53.608
Andreza	31	2	21.712	22.578	0.866	0.0195529465	0.866	0.0195529465	44.29
Andreza	31	3	8.866	9.849	0.983	0.0525247128	0.983	0.0525247128	18.715
Andreza	31	8	25.231	24.063	-1.168	-0.0236945673	1.168	0.0236945673	49.294
Andreza	31	13	12.75	11.311	-1.439	-0.0598063256	1.439	0.0598063256	24.061
Andreza	31	9	19.8	18.319	-1.481	-0.0388520161	1.481	0.0388520161	38.119
Andreza	31	5	17.431	15.916	-1.515	-0.0454313731	1.515	0.0454313731	33.347
